feature,importance
26,0.8439412779498722
27,0.1537388366121228
2,0.0006413174414749332
5,0.0004221954575123588
11,0.00033010087858710227
22,0.0002758993107936729
25,0.00014360313168756405
21,0.00012360486242177677
0,0.00010251584378263658
10,6.193467900405563e-05
14,6.124431176100006e-05
17,5.103019007848416e-05
3,3.6931310830426816e-05
18,3.0037158948103947e-05
20,1.5622449197419472e-05
8,1.2260499938498165e-05
9,7.273508572778895e-06
23,4.3144034140785806e-06
1,0.0
15,0.0
16,0.0
13,0.0
12,0.0
19,0.0
7,0.0
6,0.0
24,0.0
4,0.0
